date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:20	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2008:19:19%20GMT	http://tk-themes.net/robots.txt		(from )
15:19:21	37048/37048	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf49-90b8%22	http://tk-themes.net/html-umbra/	D:/shoppingC/tk-themes.net/html-umbra/index.html	(from )
15:19:21	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%2257cccd34-1536%22	http://tk-themes.net/html-umbra/images/favicon.ico	D:/shoppingC/tk-themes.net/html-umbra/images/favicon.ico	(from http://tk-themes.net/html-umbra/)
15:19:22	122367/122367	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf84-1ddff%22	http://tk-themes.net/html-umbra/css/bootstrap.min.css	D:/shoppingC/tk-themes.net/html-umbra/css/bootstrap.min.css	(from http://tk-themes.net/html-umbra/)
15:19:22	40107/40107	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf88-9cab%22	http://tk-themes.net/html-umbra/css/settings.css	D:/shoppingC/tk-themes.net/html-umbra/css/settings.css	(from http://tk-themes.net/html-umbra/)
15:19:22	27678/27678	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf88-6c1e%22	http://tk-themes.net/html-umbra/css/prettyPhoto.css	D:/shoppingC/tk-themes.net/html-umbra/css/prettyPhoto.css	(from http://tk-themes.net/html-umbra/)
15:19:22	8197/8197	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf86-2005%22	http://tk-themes.net/html-umbra/css/magnific-popup.css	D:/shoppingC/tk-themes.net/html-umbra/css/magnific-popup.css	(from http://tk-themes.net/html-umbra/)
15:19:23	29062/29062	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf86-7186%22	http://tk-themes.net/html-umbra/css/font-awesome.min.css	D:/shoppingC/tk-themes.net/html-umbra/css/font-awesome.min.css	(from http://tk-themes.net/html-umbra/)
15:19:23	25252/25252	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf85-62a4%22	http://tk-themes.net/html-umbra/css/elegantIcon.css	D:/shoppingC/tk-themes.net/html-umbra/css/elegantIcon.css	(from http://tk-themes.net/html-umbra/)
15:19:23	1127/1127	---M--	200	added ('OK')	text/css	etag:%2257ccdf87-467%22	http://tk-themes.net/html-umbra/css/owl.carousel.css	D:/shoppingC/tk-themes.net/html-umbra/css/owl.carousel.css	(from http://tk-themes.net/html-umbra/)
15:19:23	1161/1161	---M--	200	added ('OK')	text/css	etag:%2257ccdf87-489%22	http://tk-themes.net/html-umbra/css/owl.theme.css	D:/shoppingC/tk-themes.net/html-umbra/css/owl.theme.css	(from http://tk-themes.net/html-umbra/)
15:19:24	245015/245015	---MCZ	200	added ('OK')	text/css	etag:W/%2257d1d764-3bd17%22	http://tk-themes.net/html-umbra/css/style.css	D:/shoppingC/tk-themes.net/html-umbra/css/style.css	(from http://tk-themes.net/html-umbra/)
15:19:24	16438/16438	---MCZ	200	added ('OK')	text/css	etag:W/%2257ccdf85-4036%22	http://tk-themes.net/html-umbra/css/custom.css	D:/shoppingC/tk-themes.net/html-umbra/css/custom.css	(from http://tk-themes.net/html-umbra/)
15:19:25	4716/4716	---M--	200	added ('OK')	image/png	etag:%2257cccd3a-126c%22	http://tk-themes.net/html-umbra/images/logo.png	D:/shoppingC/tk-themes.net/html-umbra/images/logo.png	(from http://tk-themes.net/html-umbra/)
15:19:25	49515/49515	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf46-c16b%22	http://tk-themes.net/html-umbra/index-2.html	D:/shoppingC/tk-themes.net/html-umbra/index-2.html	(from http://tk-themes.net/html-umbra/)
15:19:25	31150/31150	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf46-79ae%22	http://tk-themes.net/html-umbra/index-3.html	D:/shoppingC/tk-themes.net/html-umbra/index-3.html	(from http://tk-themes.net/html-umbra/)
15:19:26	25283/25283	---MCZ	200	added ('OK')	text/html	etag:W/%2257cce56f-62c3%22	http://tk-themes.net/html-umbra/index-4.html	D:/shoppingC/tk-themes.net/html-umbra/index-4.html	(from http://tk-themes.net/html-umbra/)
15:19:26	58320/58320	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf47-e3d0%22	http://tk-themes.net/html-umbra/index-5.html	D:/shoppingC/tk-themes.net/html-umbra/index-5.html	(from http://tk-themes.net/html-umbra/)
15:19:26	43240/43240	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf48-a8e8%22	http://tk-themes.net/html-umbra/index-6.html	D:/shoppingC/tk-themes.net/html-umbra/index-6.html	(from http://tk-themes.net/html-umbra/)
15:19:27	42493/42493	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf48-a5fd%22	http://tk-themes.net/html-umbra/index-7.html	D:/shoppingC/tk-themes.net/html-umbra/index-7.html	(from http://tk-themes.net/html-umbra/)
15:19:27	19125/19125	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf43-4ab5%22	http://tk-themes.net/html-umbra/blog.html	D:/shoppingC/tk-themes.net/html-umbra/blog.html	(from http://tk-themes.net/html-umbra/)
15:19:27	21118/21118	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf41-527e%22	http://tk-themes.net/html-umbra/blog-masonry.html	D:/shoppingC/tk-themes.net/html-umbra/blog-masonry.html	(from http://tk-themes.net/html-umbra/)
15:19:27	17351/17351	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf40-43c7%22	http://tk-themes.net/html-umbra/blog-grid.html	D:/shoppingC/tk-themes.net/html-umbra/blog-grid.html	(from http://tk-themes.net/html-umbra/)
15:19:28	14692/14692	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf3f-3964%22	http://tk-themes.net/html-umbra/blog-alternate.html	D:/shoppingC/tk-themes.net/html-umbra/blog-alternate.html	(from http://tk-themes.net/html-umbra/)
